Card_Name,Nbr,Type,Range,Notes,Faction,location,Deckorder,Images
Cautious_Advance,4,M,1,,INVESTIGATORS,,,McLLez6ki.jpeg
Quick_Advance,4,M,2,,INVESTIGATORS,,,McLLez6ki.jpeg
Run,3,M,3,,INVESTIGATORS,,,McLLez6ki.jpeg
Sprint,2,M,4,,INVESTIGATORS,,,McLLez6ki.jpeg
Zig-Zag,2,M,K,,INVESTIGATORS,,,McLLez6ki.jpeg
Pitchfork,1,A,1,,INVESTIGATORS,,,McLLez6ki.jpeg
Shovel,1,A,1,,INVESTIGATORS,,,McLLez6ki.jpeg
Torch,1,A,1,,INVESTIGATORS,,,McLLez6ki.jpeg
Axe,1,A,1,,INVESTIGATORS,,,McLLez6ki.jpeg
Shoot_Point_Blank,1,A,1,,INVESTIGATORS,,,McLLez6ki.jpeg
Pistol,2,A,2,,INVESTIGATORS,,,McLLez6ki.jpeg
Revolver,1,A,2,,INVESTIGATORS,,,McLLez6ki.jpeg
Dynamite,1,A,K,,INVESTIGATORS,,,McLLez6ki.jpeg
Shotgun,2,A,3,,INVESTIGATORS,,,McLLez6ki.jpeg
Rifle,2,A,4,,INVESTIGATORS,,,McLLez6ki.jpeg
Duck,2,D,-,,INVESTIGATORS,,,McLLez6ki.jpeg
Hide,2,D,-,,INVESTIGATORS,,,McLLez6ki.jpeg
Block,2,D,-,,INVESTIGATORS,,,McLLez6ki.jpeg
Battle_Plan,2,XF,3,Draw 3 cards,INVESTIGATORS,,,McLLez6ki.jpeg
Stalwart,2,D,-,Companions only,INVESTIGATORS,,,McLLez6ki.jpeg
Ancient_Tome,4,XS,1,Discard to Draw a Spell card,INVESTIGATORS,,,McLLez6ki.jpeg
Quiet_Approach,4,M,1,,DEEP_ONES,,,McLLez6ki.jpeg
Shamble,4,M,2,,DEEP_ONES,,,McLLez6ki.jpeg
Loping_Gait,3,M,3,,DEEP_ONES,,,McLLez6ki.jpeg
Deft_Scramble,2,M,4,,DEEP_ONES,,,McLLez6ki.jpeg
Sinuous_Movements,2,M,K,,DEEP_ONES,,,McLLez6ki.jpeg
Sharp_Claws,2,A,1,,DEEP_ONES,,,McLLez6ki.jpeg
Silent_Attack,1,A,1,,DEEP_ONES,,,McLLez6ki.jpeg
Bite,1,A,1,,DEEP_ONES,,,McLLez6ki.jpeg
Trident,1,A,1,,DEEP_ONES,,,McLLez6ki.jpeg
Net_Attack,1,A,2,,DEEP_ONES,,,McLLez6ki.jpeg
Hunting_Spear,2,A,2,,DEEP_ONES,,,McLLez6ki.jpeg
Thrown_Harpoon,2,A,2,,DEEP_ONES,,,McLLez6ki.jpeg
Crossbow,3,A,3,,DEEP_ONES,,,McLLez6ki.jpeg
Scales,2,D,-,,DEEP_ONES,,,McLLez6ki.jpeg
Swift_Motion,2,D,-,,DEEP_ONES,,,McLLez6ki.jpeg
Move_in_Shadows,2,D,-,,DEEP_ONES,,,McLLez6ki.jpeg
Emerge_from_the_Sea,2,XF,3,Draw 3 cards,DEEP_ONES,,,McLLez6ki.jpeg
Immortal,2,D,-,Deep Ones only,DEEP_ONES,,,McLLez6ki.jpeg
Deep_Magic,4,XS,1,Discard to Draw a Spell card,DEEP_ONES,,,McLLez6ki.jpeg
Coil,4,M,1,,SERPENT_PEOPLE,,,McLLez6ki.jpeg
Twist,4,M,2,,SERPENT_PEOPLE,,,McLLez6ki.jpeg
Slither,3,M,3,,SERPENT_PEOPLE,,,McLLez6ki.jpeg
Shoot,2,M,4,,SERPENT_PEOPLE,,,McLLez6ki.jpeg
Slip_&_Slide,3,M,K,,SERPENT_PEOPLE,,,McLLez6ki.jpeg
Venomous_Fangs,2,A,1,,SERPENT_PEOPLE,,,McLLez6ki.jpeg
Poisonous_Bite,2,A,1,,SERPENT_PEOPLE,,,McLLez6ki.jpeg
