Card_Name,Type,Range,Notes,location,Deckorder,Images
Spell_of_Binding,Rspell,3, Target cannot move or attack for 4 turns,,,McLLez6ki.jpeg
Black_Binding,Rspell,2, Target cannot move or attack for 4 turns,,,McLLez6ki.jpeg
Dismiss,Rspell,2, Move enemy unit up to 3 spaces away from caster,,,McLLez6ki.jpeg
Summon_Fire_Vampire,Summon,1, Gain a 7 Hit Unit. Attack range = 1. Move range = 4.,,,McLLez6ki.jpeg
Summon_Baykhee,Summon,1, Gain a 4 Hit Unit. Attack range = 1. Move range = 4.,,,McLLez6ki.jpeg
Summon_Dark_Young,Summon,1, Gain a 7 Hit Unit. Attack range = 1. Move range = 1.,,,McLLez6ki.jpeg
Summon_Dimensional_Shambler,Summon,1, Gain a 4 Hit Unit. Attack range = 1. Move range = 2.,,,McLLez6ki.jpeg
Summon_Flying_Polyp,Summon,1, Gain a 9 Hit Unit. Attack range = 1. Move range = 5.,,,McLLez6ki.jpeg
Summon_Formless_Spawn,Summon,1, Gain a 6 Hit Unit. Attack range = 1. Move range = K.,,,McLLez6ki.jpeg
Summon_Hunting_Horror,Summon,1, Gain an 8 Hit Unit. Attack range = 1. Move range = 3.,,,McLLez6ki.jpeg
Summon_Hound_of_Tindalos,Summon,1, Gain a 6 Hit Unit. Attack range = 1. Move range = 3.,,,McLLez6ki.jpeg
Summon_Night_Gaunt,Summon,1, Gain a 3 Hit Unit. Attack range = 1. Move range = 4.,,,McLLez6ki.jpeg
Summon_Shantak,Summon,1, Gain a 5 Hit Unit. Attack range = 1. Move range = 4.,,,McLLez6ki.jpeg
Summon_Shoggoth,Summon,1, Gain a 10 Hit Unit. Attack range = 1. Move range = 2.,,,McLLez6ki.jpeg
Summon_Xiclotl,Summon,1, Gain a 5 Hit Unit. Attack range = 1. Move range = 1.,,,McLLez6ki.jpeg
Contact_Chthonian,DrawS,2, Draw 2 Spell cards,,,McLLez6ki.jpeg
Contact_Star_Spawn,DrawS,2, Draw 2 Spell cards,,,McLLez6ki.jpeg
Dread_Curse_of_Azathoth,A,2, Attack of Range = 2,,,McLLez6ki.jpeg
Create_Gate,M,100, Move Self or Adjacent friendly unit to any open space,,,McLLez6ki.jpeg
Elder_Sign,Spell,, Negate a Move card just Played,,,McLLez6ki.jpeg
Voorish_Sign,DrawF,1, Look at opponents hand. Draw a card from your deck.,,,McLLez6ki.jpeg
Powder_of_Ibn-Ghazi,DrawF,1, Look at opponents hand. Draw a card from your deck.,,,McLLez6ki.jpeg
Resurrection,Spell,, Bring friendly dead unit back to life adjacent to caster. Unit has 1 Hit.,,,McLLez6ki.jpeg
Shrivelling,A,2, Attack of Range = 2,,,McLLez6ki.jpeg
Glass_from_Leng,DrawF,1, Look at opponents hand. Draw a card from your deck.,,,McLLez6ki.jpeg
Lamp_of_Alhazred,DrawS,2, Draw 2 Spell cards,,,McLLez6ki.jpeg
Plutonian_Drug,Spell,, Search Spell Deck for card & put it in your hand,,,McLLez6ki.jpeg
Shining_Trapezohedron,Rspell,3,Gain Control of Target,,,McLLez6ki.jpeg
Bait,Spell,, Move enemy unit up to 3 spaces towards caster,,,McLLez6ki.jpeg
Spectral_Hunter,D,, Defense,,,McLLez6ki.jpeg
Bless_Blade,A,1, Attack of Range = 1,,,McLLez6ki.jpeg
Body_Warping_of_Gorgoroth,Spell,, Self or Target gains 1 Hit,,,McLLez6ki.jpeg
Cast_out_Devil,Spell,, Negate target Control Spell or effect,,,McLLez6ki.jpeg
Call_Power_of_Nyambe,DrawS,2, Draw 2 Spell cards,,,McLLez6ki.jpeg
Ceremonial_Dagger,,, Kill adjacent friendly unit to draw 3 spell cards,,,McLLez6ki.jpeg
Chant_of_Thoth,,, Look at opponents hand. Draw a card from your deck.,,,McLLez6ki.jpeg
Chime_of_Tezchaptl,,, Negate Spell just cast,,,McLLez6ki.jpeg
Cloud_Memory,,, Opponent must discard Spell Hand,,,McLLez6ki.jpeg
Clutch_of_Nyogtha,,, Attack of Range = K,,,McLLez6ki.jpeg
Command_Spell,,3, Gain Control of Target for 3 turns,,,McLLez6ki.jpeg
Conjure_Glass_of_Mortlan,,, Take card from your discard & put it in your hand,,,McLLez6ki.jpeg
Consume_Likeness,,, Defense,,,McLLez6ki.jpeg
Bad-Corpse_Dust,,, Negate a Move card just Played,,,McLLez6ki.jpeg
Barrier_of_Naach-Tith,,, Defense or Negate Spell just cast,,,McLLez6ki.jpeg
